date;Type_Jour;Total
2024-06-22;SA;177041
2024-06-27;JOHV;359150
2024-06-30;DIJFP;139920
2024-07-26;JOVS;165803
2024-08-18;DIJFP;88451
2024-10-11;JOHV;291348
2024-10-17;JOHV;359829
2024-11-07;JOHV;345543
2024-11-10;DIJFP;149684
2024-11-18;JOHV;341791
2024-12-04;JOHV;417477
2019-04-02;JOHV;386343
2019-04-29;JOVS;336095
2019-05-14;JOHV;386802
2019-05-15;JOHV;386602
2019-05-24;JOHV;378840
2019-06-08;SA;196930
2019-07-28;DIJFP;107911
2019-08-05;JOVS;282052
2019-08-07;JOVS;277248
2019-08-23;JOVS;263906
2019-09-22;DIJFP;110113
2019-10-07;JOHV;358869
2019-10-09;JOHV;356011
2019-11-25;JOHV;384546
2019-12-23;JOVS;300523
2020-01-30;JOHV;382569
2020-01-31;JOHV;380383
2020-02-08;SA;175789
2020-02-14;JOVS;350075
2020-03-18;JOHV;16359
2020-07-11;SA;108089
2020-07-31;JOVS;151011
2020-08-26;JOVS;175774
2020-08-27;JOVS;180662
2020-09-02;JOHV;214949
2020-10-20;JOVS;208890
2020-11-12;JOHV;66127
2020-11-13;JOHV;62665
2020-12-09;JOHV;112331
2021-01-19;JOHV;118583
2021-01-20;JOHV;138397
2021-05-03;JOHV;89745
2021-05-11;JOHV;101684
2021-06-08;JOHV;139442
2021-06-19;SA;121289
2021-06-22;JOHV;191063
2021-07-01;JOHV;228462
2021-07-11;DIJFP;78801
2021-07-18;DIJFP;73579
2021-08-10;JOVS;133184
2021-09-13;JOHV;226401
2021-10-03;DIJFP;91377
2022-01-11;JOHV;175468
2022-01-24;JOHV;171437
2022-02-07;JOHV;219516
2022-02-26;SA;126900
2022-03-23;JOHV;253808
2022-04-18;DIJFP;100498
2022-05-09;JOHV;251937
2022-06-23;JOHV;313354
2022-07-08;JOVS;242928
2022-08-29;JOVS;239794
2022-10-04;JOHV;317860
2022-10-19;JOHV;308704
2022-11-03;JOVS;297104
2023-01-07;SA;171845
2023-01-24;JOHV;312554
2023-02-10;JOHV;255583
2023-03-26;DIJFP;92413
2023-04-21;JOHV;238399
2023-06-01;JOHV;331903
2023-06-07;JOHV;339281
2023-07-07;JOHV;262649
2023-08-04;JOVS;184425
2023-09-27;JOHV;320758
2023-12-20;JOHV;353789
2024-01-11;JOHV;348518
2024-03-08;JOHV;246328
2024-03-23;SA;180508
2024-06-28;JOHV;285925
2024-07-27;SA;181129
2024-09-17;JOHV;352503
2024-10-06;DIJFP;135071
2024-11-08;JOHV;279110
2024-11-23;SA;282549
2024-11-24;DIJFP;169554
2024-12-01;DIJFP;219902
2024-06-02;DIJFP;125345
2024-06-05;JOHV;331549
2024-08-04;DIJFP;131792
2024-08-07;JOVS;229371
2024-08-27;JOVS;268978
2024-10-09;JOHV;351087
2024-10-20;DIJFP;134567
2024-12-09;JOHV;350941
2024-12-14;SA;298963
2019-03-15;JOHV;367744
2019-03-24;DIJFP;112644
2019-04-07;DIJFP;113142
2019-04-30;JOVS;353397
2019-06-22;SA;195898
2019-07-10;JOVS;392085
2019-07-17;JOVS;371091
2019-09-11;JOHV;370366
2019-09-16;JOHV;370431
2019-09-30;JOHV;370672
2019-10-17;JOHV;366193
2019-11-06;JOHV;340029
2019-11-10;DIJFP;125723
2020-02-09;DIJFP;100659
2020-02-24;JOHV;364562
2020-03-26;JOHV;13431
2020-03-28;SA;8857
2020-05-01;DIJFP;5804
2020-05-16;SA;35452
2020-05-21;DIJFP;26290
2020-06-20;SA;104347
2020-08-02;DIJFP;63962
2020-10-14;JOHV;208100
2020-10-17;SA;114744
2021-01-27;JOHV;125021
2021-02-02;JOHV;97956
2021-02-21;DIJFP;30188
2021-03-08;JOHV;83731
2021-04-21;JOVS;69946
2021-04-24;SA;43126
2021-05-17;JOHV;90513
2021-06-18;JOHV;167124
2021-08-31;JOVS;211155
2021-09-06;JOHV;217522
2021-09-28;JOHV;256307
2021-10-17;DIJFP;96584
2021-10-28;JOVS;253272
2021-12-02;JOHV;261936
2022-01-12;JOHV;192580
2022-01-17;JOHV;180009
2022-05-11;JOHV;271218
2022-09-01;JOHV;256518
2022-10-16;DIJFP;117246
2022-12-10;SA;219290
2023-01-28;SA;189750
2023-02-23;JOVS;285323
2023-03-02;JOVS;271584
2023-03-07;JOHV;125624
2023-03-09;JOHV;273054
2023-03-16;JOHV;295150
2023-03-21;JOHV;320617
2023-04-14;JOHV;249738
2023-05-02;JOVS;282931
2023-06-20;JOHV;365987
2023-06-22;JOHV;316494
2023-07-08;SA;186644
2023-07-14;DIJFP;150005
2023-07-24;JOVS;263547
2023-08-21;JOVS;208523
2023-10-12;JOHV;338136
2023-11-01;DIJFP;133806
2023-12-13;JOHV;358990
2023-12-29;JOVS;222360
2024-01-01;DIJFP;68042
2024-01-17;JOHV;302882
2024-01-19;JOHV;276732
2024-02-15;JOVS;264044
2024-02-28;JOHV;291725
2024-03-03;DIJFP;102437
2024-03-17;DIJFP;112998
2024-08-23;JOVS;171272
2019-05-08;DIJFP;126503
2019-06-09;DIJFP;117681
2019-06-14;JOHV;421288
2019-06-28;JOHV;461156
2019-07-05;JOHV;411897
2019-08-16;DIJFP;172871
2019-09-13;JOHV;208292
2019-11-17;DIJFP;131841
2019-12-09;JOHV;276438
2019-12-10;JOHV;278433
2019-12-27;JOVS;223233
2020-01-05;DIJFP;87400
2020-01-28;JOHV;380320
2020-03-13;JOHV;285203
2020-03-31;JOHV;12074
2020-04-13;DIJFP;6148
2020-04-23;JOHV;14844
2020-07-04;SA;114446
2020-09-08;JOHV;231927
2020-09-28;JOHV;212021
2020-09-29;JOHV;232703
2020-10-15;JOHV;207451
2020-11-24;JOHV;67263
2020-12-21;JOVS;145246
2021-03-11;JOHV;97917
2021-07-26;JOVS;168032
2021-11-10;JOHV;250097
2021-11-20;SA;155927
2021-12-29;JOVS;179994
2022-01-28;JOHV;167220
2022-04-27;JOVS;231687
2022-05-08;DIJFP;95887
2022-05-19;JOHV;282051
2022-06-04;SA;172335
2022-06-06;DIJFP;139543
2022-07-10;DIJFP;114145
2022-07-22;JOVS;206955
2022-07-26;JOVS;256983
2022-07-31;DIJFP;95571
2022-10-17;JOHV;309655
2022-11-09;JOHV;302720
2022-12-27;JOVS;213767
2022-12-31;SA;170167
2023-01-17;JOHV;332980
2023-03-01;JOVS;274317
2023-03-12;DIJFP;106654
2023-05-01;DIJFP;72097
2023-05-24;JOHV;297774
2023-06-21;JOHV;359345
2023-06-23;JOHV;276223
2023-07-16;DIJFP;110804
2023-09-06;JOHV;309707
2023-10-01;DIJFP;118664
2023-10-29;DIJFP;120547
2023-11-02;JOVS;237514
2023-11-07;JOHV;294333
2023-11-22;JOHV;338044
2023-11-30;JOHV;352692
2023-12-08;JOHV;321847
2023-12-11;JOHV;335399
2024-05-28;JOHV;342183
2024-07-05;JOHV;265855
2024-07-21;DIJFP;112715
2024-08-29;JOVS;296362
2024-09-12;JOHV;343552
2024-09-21;SA;188239
2024-09-25;JOHV;344365
2024-10-04;JOHV;292831
2024-10-26;SA;191737
2024-10-28;JOVS;318922
2024-11-29;JOHV;354883
2024-12-16;JOHV;359859
2024-12-18;JOHV;375848
2024-12-28;SA;222917
2024-12-31;JOVS;235152
