date;Type_Jour;Total
2020-12-11;JOHV;120559
2021-01-01;DIJFP;19267
2021-03-28;DIJFP;23593
2021-05-01;DIJFP;28367
2021-05-12;JOHV;95324
2021-06-04;JOHV;142967
2021-10-21;JOHV;260320
2021-12-01;JOHV;260983
2022-01-19;JOHV;185183
2022-02-27;DIJFP;77129
2022-03-28;JOHV;233048
2022-04-22;JOHV;222038
2022-05-27;JOHV;177846
2022-06-01;JOHV;267786
2022-06-13;JOHV;270673
2022-06-28;JOHV;310101
2022-08-31;JOHV;266575
2022-09-10;SA;197140
2022-09-27;JOHV;315011
2023-02-07;JOHV;162058
2023-02-20;JOVS;273902
2023-03-11;SA;160027
2023-03-29;JOHV;290698
2023-06-09;JOHV;270431
2023-10-26;JOVS;327859
2024-02-04;DIJFP;111970
2024-03-20;JOHV;255207
2024-04-15;JOVS;283591
2024-07-06;SA;196235
2024-08-05;JOVS;234774
2024-09-16;JOHV;325128
2024-11-04;JOHV;301301
2024-11-22;JOHV;281883
2024-11-30;SA;327581
2024-12-19;JOHV;383571
2019-04-26;JOVS;352985
2019-06-21;JOHV;403496
2019-07-24;JOVS;364122
2019-08-22;JOVS;271634
2020-01-02;JOVS;261424
2020-01-12;DIJFP;120837
2020-01-18;SA;190208
2020-04-05;DIJFP;4672
2020-05-25;JOHV;52671
2020-06-22;JOHV;151052
2020-07-05;DIJFP;66574
2020-08-10;JOVS;147440
2020-09-11;JOHV;208882
2020-10-28;JOVS;201544
2020-12-18;JOHV;135231
2021-01-11;JOHV;106980
2021-02-04;JOHV;93796
2021-03-12;JOHV;81466
2021-04-29;JOHV;80984
2021-05-18;JOHV;77397
2021-06-20;DIJFP;80068
2021-08-15;DIJFP;53342
2021-11-05;JOVS;225527
2021-12-24;JOVS;154980
2022-02-17;JOHV;242017
2022-03-05;SA;138592
2022-07-12;JOVS;289182
2022-08-19;JOVS;155986
2022-11-10;JOHV;150155
2022-12-25;DIJFP;52752
2023-02-05;DIJFP;116498
2023-03-15;JOHV;245968
2023-04-24;JOVS;288117
2023-06-19;JOHV;307320
2023-10-02;JOHV;314383
2019-04-08;JOHV;379517
2019-05-06;JOHV;335670
2019-09-01;DIJFP;114129
2019-10-12;SA;188207
2019-10-24;JOVS;362426
2019-12-12;JOHV;326695
2020-04-07;JOVS;11829
2020-05-12;JOHV;39872
2020-05-14;JOHV;45032
2020-05-19;JOHV;47604
2020-11-01;DIJFP;16905
2020-12-29;JOVS;111680
2021-02-27;SA;43055
2021-05-26;JOHV;150793
2021-09-18;SA;137661
2021-11-15;JOHV;237737
2022-04-04;JOHV;225092
2022-04-05;JOHV;252230
2022-04-19;JOHV;258752
2022-04-28;JOVS;240782
2022-05-14;SA;175180
2022-06-10;JOHV;237439
2022-06-16;JOHV;299620
2022-06-22;JOHV;307609
2022-06-30;JOHV;291961
2022-07-17;DIJFP;108801
2022-07-25;JOVS;233837
2022-08-17;JOVS;178882
2022-10-25;JOVS;322432
2023-01-02;JOVS;221623
2023-02-04;SA;185498
2023-04-16;DIJFP;103156
2023-05-07;DIJFP;116691
2023-09-12;JOHV;339023
2023-10-17;JOHV;279501
2023-12-27;JOVS;230619
2024-02-01;JOHV;308952
2024-03-22;JOHV;213235
2024-10-30;JOVS;319353
2019-06-01;SA;159665
2019-06-17;JOHV;401424
2019-08-02;JOVS;297472
2019-10-14;JOHV;367598
2020-01-16;JOHV;336179
2020-02-04;JOHV;388182
2020-03-27;JOHV;12406
2020-11-19;JOHV;66475
2020-11-26;JOHV;68396
2021-04-14;JOVS;63020
2021-05-07;JOHV;87938
2022-02-03;JOHV;208926
2022-03-07;JOHV;222532
2022-06-25;SA;192404
2022-08-02;JOVS;219759
2022-08-25;JOVS;216130
2022-08-30;JOVS;270877
2022-11-17;JOHV;311291
2023-01-05;JOHV;301195
2023-01-16;JOHV;300955
2023-05-29;DIJFP;144001
2023-06-14;JOHV;317278
2023-09-01;JOVS;231226
2023-12-09;SA;213972
2024-05-09;DIJFP;197621
2024-05-20;DIJFP;153357
2024-07-09;JOVS;342889
2024-07-13;SA;185151
2024-07-29;JOVS;248823
2024-10-14;JOHV;332196
2019-05-07;JOHV;350577
2020-01-10;JOHV;352761
2020-04-04;SA;8943
2020-06-16;JOHV;134617
2021-07-16;JOVS;171091
2021-11-22;JOHV;248307
2021-11-26;JOHV;258168
2022-01-08;SA;133104
2022-02-21;JOVS;210856
2022-03-26;SA;148695
2022-04-26;JOVS;252884
2022-05-17;JOHV;302754
2022-07-19;JOVS;262266
2022-08-20;SA;130109
2022-11-27;DIJFP;133001
2023-02-17;JOHV;258114
2023-11-12;DIJFP;127972
2024-02-16;JOVS;212155
2024-04-19;JOVS;233780
2024-10-18;JOHV;281308
2019-03-22;JOHV;375569
2019-05-19;DIJFP;104445
2019-05-20;JOHV;375802
2019-06-20;JOHV;411670
2019-07-23;JOVS;372278
2019-07-08;JOVS;392341
2019-10-16;JOHV;364346
2019-08-04;DIJFP;98470
2019-10-22;JOVS;347645
2019-08-28;JOVS;320873
2019-11-18;JOHV;382713
2019-09-08;DIJFP;111665
2019-12-29;DIJFP;115946
2019-09-09;JOHV;359680
2020-02-15;SA;156983
2019-10-19;SA;173135
2020-04-01;JOHV;11334
2020-04-12;DIJFP;5052
2019-12-26;JOVS;221522
2020-05-09;SA;14137
2020-03-08;DIJFP;92926
2020-05-24;DIJFP;23821
2020-04-10;JOVS;12572
2020-06-23;JOHV;168308
2020-05-02;SA;12589
2020-07-01;JOHV;184579
2020-05-17;DIJFP;17983
2020-08-11;JOVS;148620
2020-06-17;JOHV;136574
2020-08-16;DIJFP;51226
2020-07-20;JOVS;198046
2020-09-04;JOHV;202726
2020-08-25;JOVS;175234
2020-10-05;JOHV;219871
2020-09-24;JOHV;229719
2020-11-15;DIJFP;15076
2020-10-07;JOHV;216580
2020-11-30;JOHV;99106
2021-02-14;DIJFP;21349
2021-01-25;JOHV;117948
2021-02-25;JOVS;93390
2021-05-06;JOHV;92364
2021-06-03;JOHV;158566
2021-08-14;SA;86516
2021-06-07;JOHV;125879
2021-08-21;SA;88845
2021-06-17;JOHV;184731
2021-09-29;JOHV;249529
2021-06-25;JOHV;173988
2021-11-12;DIJFP;165307
2021-11-13;SA;150262
2021-12-04;SA;190099
2021-08-12;JOVS;128172
2021-10-29;JOVS;219377
2022-01-05;JOHV;166784
2022-09-06;JOHV;302303
2022-10-06;JOHV;312059
2021-11-27;SA;203256
2022-01-02;DIJFP;85258
2022-01-31;JOHV;182897
2022-02-11;JOHV;205255
2022-02-15;JOHV;245115
2022-03-16;JOHV;270483
2022-04-02;SA;162719
2022-04-10;DIJFP;89868
2022-04-15;JOHV;216234
2022-04-30;SA;131573
2022-05-20;JOHV;228635
2022-06-03;JOHV;230545
2022-08-07;DIJFP;91584
2022-08-13;SA;123074
2022-10-29;SA;170674
2022-09-07;JOHV;292919
2022-11-04;JOVS;249296
2023-02-06;JOHV;302572
2023-08-12;SA;129399
2023-07-27;JOVS;264693
2024-01-05;JOVS;243176
2023-10-04;JOHV;325939
2024-01-20;SA;194470
2023-12-12;JOHV;379642
2024-01-21;DIJFP;112808
